"state_code","district_code","social_group","size_class","holding_no","holding_ar","gca_irrigated","gca_unirrigated","gca_total"
36,554,2,12,4960,3521,1158,1348,2505
37,532,99,12,115153,85754,15825,63515,79340
37,533,99,12,130280,95460,85507,45325,130832
37,534,99,12,172669,126030,107199,28968,136166
37,535,99,12,175759,128007,38529,69042,107570
36,537,99,12,92608,68189,14438,26228,40666
37,538,99,12,244407,181468,37253,121378,158632
37,539,99,12,189071,139326,76868,46406,123274
37,540,99,12,164108,120394,81734,34754,116488
37,541,99,12,120992,88605,49341,43954,93294
36,542,99,12,118571,84742,58573,48466,107039
36,543,99,12,100576,72296,38622,42100,80722
36,544,99,12,105990,75362,40365,35288,75653
36,545,99,12,140848,101019,113195,38514,151709
36,546,99,12,129591,93569,138600,5491,144092
36,547,99,12,139148,101590,89131,60921,150053
36,548,99,12,210486,152412,113665,73744,187410
36,549,99,12,164258,120371,32660,79666,112327
36,550,99,12,110204,80288,68299,13543,81842
36,551,99,12,118412,85808,39434,36229,75662
36,552,99,12,159152,118677,36364,80900,117264
36,553,99,12,150381,113525,16379,89567,105946
36,554,99,12,176800,127463,42732,49976,92708
37,532,4,32,3,10,0,5,5
37,533,4,32,3,10,5,2,7
37,534,4,32,0,0,0,0,0
37,535,4,32,11,37,6,10,17
36,537,4,32,15,51,15,3,18
37,538,4,32,0,0,0,0,0
37,539,4,32,10,34,3,15,18
37,540,4,32,1,3,0,2,2
37,541,4,32,17,60,28,13,40
36,542,4,32,36,125,66,21,87
36,543,4,32,8,26,12,10,21
36,544,4,32,11,38,5,19,24
36,545,4,32,48,166,181,17,198
36,546,4,32,53,185,287,3,291
36,547,4,32,1,4,0,4,4
36,548,4,32,70,244,72,83,156
36,549,4,32,12,40,0,25,25
36,550,4,32,51,175,110,32,142
36,551,4,32,1,3,0,2,2
36,552,4,32,1,3,2,0,2
36,553,4,32,67,230,12,159,171
36,554,4,32,2,7,2,2,4
37,532,1,32,2165,7452,544,5832,6376
37,533,1,32,364,1231,853,749,1603
37,534,1,32,640,2183,1233,808,2042
37,535,1,32,772,2623,632,1587,2218
36,537,1,32,903,3069,393,1438,1831
37,538,1,32,1995,6818,1700,3999,5699
37,539,1,32,847,2895,1552,831,2383
37,540,1,32,762,2631,1502,1001,2503
37,541,1,32,374,1281,485,683,1168
36,542,1,32,31,104,58,37,95
36,543,1,32,130,456,207,131,338
36,544,1,32,51,172,37,86,123
36,545,1,32,188,644,289,244,533
36,546,1,32,258,884,823,13,836
36,547,1,32,277,955,497,460,957
36,548,1,32,369,1254,951,203,1154
36,549,1,32,949,3262,791,1631,2422
36,550,1,32,468,1608,1429,322,1750
36,551,1,32,227,760,186,342,528
36,552,1,32,1843,6295,1093,4814,5908
36,553,1,32,1417,4809,607,3305,3912
36,554,1,32,405,1371,418,549,967
37,532,3,32,12509,43031,5872,34363,40235
37,533,3,32,7170,24558,20110,12695,32805
37,534,3,32,12715,43588,36905,9604,46509
37,535,3,32,12057,41421,14731,21538,36269
36,537,3,32,9231,31738,5533,10863,16396
37,538,3,32,26664,91602,28842,50220,79062
37,539,3,32,22037,75742,44761,25680,70442
37,540,3,32,11805,40557,28886,12416,41302
37,541,3,32,8518,29324,22725,13139,35864
36,542,3,32,4915,16889,18112,9503,27615
36,543,3,32,6486,22505,10519,12542,23061
36,544,3,32,3103,10550,6558,5569,12127
36,545,3,32,7225,24781,27584,10229,37814
36,546,3,32,9541,32896,52450,2282,54732
36,547,3,32,12420,42669,39210,23526,62736
36,548,3,32,14884,51040,45170,19859,65029
36,549,3,32,24242,83503,23552,50573,74126
36,550,3,32,10359,35599,35177,8827,44004
36,551,3,32,14352,49117,13470,34014,47484
36,552,3,32,30626,105521,23600,77897,101497
36,553,3,32,35876,123279,20554,91789,112343
36,554,3,32,11844,40634,14521,14205,28725
37,532,2,32,6496,22278,703,17229,17932
37,533,2,32,250,842,515,477,992
37,534,2,32,230,800,454,163,617
37,535,2,32,667,2285,570,1536,2106
36,537,2,32,659,2256,540,858,1398
37,538,2,32,2007,6866,1694,3626,5319
37,539,2,32,1638,5605,2390,2331,4721
37,540,2,32,1790,6140,4499,2167,6666
37,541,2,32,4913,16844,5224,10739,15962
36,542,2,32,344,1169,323,590,913
36,543,2,32,907,3106,668,2300,2968
36,544,2,32,6314,21787,4555,13996,18551
36,545,2,32,2999,10349,2987,2470,5457
36,546,2,32,654,2250,1583,549,2132
36,547,2,32,150,514,155,276,431
36,548,2,32,313,1071,674,212,887
36,549,2,32,209,716,243,246,489
36,550,2,32,118,404,329,30,359
36,551,2,32,87,296,38,138,176
36,552,2,32,456,1558,115,1225,1340
36,553,2,32,885,3034,655,2181,2836
36,554,2,32,125,425,60,229,289
37,532,99,32,21173,72771,7119,57429,64548
